county,district,candidate,votes
Benewah,First Judicial District,Barbara Buchanan,576
Benewah,First Judicial District,Richard S. Christensen,691
Benewah,First Judicial District,Fred M. Gibler,596
Benewah,First Judicial District,Lansing L. Haynes,560
Benewah,First Judicial District,John T. Mitchell,572
Benewah,First Judicial District,Benjamin R. Simpson,540
Bonner,First Judicial District,Barbara Buchanan,5008
Bonner,First Judicial District,Richard S. Christensen,4488
Bonner,First Judicial District,Fred M. Gibler,4504
Bonner,First Judicial District,Lansing L. Haynes,4501
Bonner,First Judicial District,John T. Mitchell,4564
Bonner,First Judicial District,Benjamin R. Simpson,4553
Boundary,First Judicial District,Barbara Buchanan,1416
Boundary,First Judicial District,Richard S. Christensen,1256
Boundary,First Judicial District,Fred M. Gibler,1242
Boundary,First Judicial District,Lansing L. Haynes,1246
Boundary,First Judicial District,John T. Mitchell,1268
Boundary,First Judicial District,Benjamin R. Simpson,1248
Kootenai,First Judicial District,Barbara Buchanan,10624
Kootenai,First Judicial District,Richard S. Christensen,10499
Kootenai,First Judicial District,Fred M. Gibler,10585
Kootenai,First Judicial District,Lansing L. Haynes,10691
Kootenai,First Judicial District,John T. Mitchell,10672
Kootenai,First Judicial District,Benjamin R. Simpson,10583
Shoshone,First Judicial District,Barbara Buchanan,789
Shoshone,First Judicial District,Richard S. Christensen,780
Shoshone,First Judicial District,Fred M. Gibler,921
Shoshone,First Judicial District,Lansing L. Haynes,784
Shoshone,First Judicial District,John T. Mitchell,812
Shoshone,First Judicial District,Benjamin R. Simpson,848
Clearwater,Second Judicial District,John Bradbury,635
Clearwater,Second Judicial District,Jeff M. Brudie,418
Clearwater,Second Judicial District,Michael J. Griffin,759
Clearwater,Second Judicial District,John R. Stegner,784
Idaho,Second Judicial District,John Bradbury,1782
Idaho,Second Judicial District,Jeff M. Brudie,1833
Idaho,Second Judicial District,Michael J. Griffin,2977
Idaho,Second Judicial District,John R. Stegner,2798
Latah,Second Judicial District,John Bradbury,1035
Latah,Second Judicial District,Jeff M. Brudie,1899
Latah,Second Judicial District,Michael J. Griffin,2320
Latah,Second Judicial District,John R. Stegner,2534
Lewis,Second Judicial District,John Bradbury,393
Lewis,Second Judicial District,Jeff M. Brudie,279
Lewis,Second Judicial District,Michael J. Griffin,529
Lewis,Second Judicial District,John R. Stegner,534
Nez Perce,Second Judicial District,John Bradbury,1161
Nez Perce,Second Judicial District,Jeff M. Brudie,2091
Nez Perce,Second Judicial District,Michael J. Griffin,2559
Nez Perce,Second Judicial District,John R. Stegner,2727
Adams,Third Judicial District,Bradley S. Ford,585
Adams,Third Judicial District,Molly J. Huskey,548
Adams,Third Judicial District,Juneal C. Kerrick,555
Adams,Third Judicial District,Thomas J. Ryan,549
Adams,Third Judicial District,George A. Southworth,555
Adams,Third Judicial District,Susan E. Wiebe,558
Canyon,Third Judicial District,Bradley S. Ford,12811
Canyon,Third Judicial District,Molly J. Huskey,12484
Canyon,Third Judicial District,Juneal C. Kerrick,12921
Canyon,Third Judicial District,Thomas J. Ryan,12624
Canyon,Third Judicial District,George A. Southworth,12341
Canyon,Third Judicial District,Susan E. Wiebe,12541
Gem,Third Judicial District,Bradley S. Ford,2077
Gem,Third Judicial District,Molly J. Huskey,2078
Gem,Third Judicial District,Juneal C. Kerrick,2058
Gem,Third Judicial District,Thomas J. Ryan,2063
Gem,Third Judicial District,George A. Southworth,2056
Gem,Third Judicial District,Susan E. Wiebe,2060
Owyhee,Third Judicial District,Bradley S. Ford,1114
Owyhee,Third Judicial District,Molly J. Huskey,1061
Owyhee,Third Judicial District,Juneal C. Kerrick,1060
Owyhee,Third Judicial District,Thomas J. Ryan,1124
Owyhee,Third Judicial District,George A. Southworth,1084
Owyhee,Third Judicial District,Susan E. Wiebe,1054
Payette,Third Judicial District,Bradley S. Ford,2621
Payette,Third Judicial District,Molly J. Huskey,2607
Payette,Third Judicial District,Juneal C. Kerrick,2598
Payette,Third Judicial District,Thomas J. Ryan,2589
Payette,Third Judicial District,George A. Southworth,2574
Payette,Third Judicial District,Susan E. Wiebe,2625
Washington,Third Judicial District,Bradley S. Ford,1493
Washington,Third Judicial District,Molly J. Huskey,1457
Washington,Third Judicial District,Juneal C. Kerrick,1467
Washington,Third Judicial District,Thomas J. Ryan,1506
Washington,Third Judicial District,George A. Southworth,1459
Washington,Third Judicial District,Susan E. Wiebe,1496
Ada,Fourth Judicial District,Deborah Bail,30753
Ada,Fourth Judicial District,Cheri C. Copsey,29754
Ada,Fourth Judicial District,Les Bock,15730
Ada,Fourth Judicial District,Richard D. Greenwood,19371
Ada,Fourth Judicial District,Timothy L. Hansen,29455
Ada,Fourth Judicial District,Melissa Moody,29499
Ada,Fourth Judicial District,Thomas F. Neville,29846
Ada,Fourth Judicial District,Lynn Norton,29582
Ada,Fourth Judicial District,Patrick H. Owen,29484
Ada,Fourth Judicial District,Rebecca W. Arnold,11665
Ada,Fourth Judicial District,Samuel A. Hoagland,10291
Ada,Fourth Judicial District,Jeanne M. Howe,5111
Ada,Fourth Judicial District,Jonathan Medema,6394
Boise,Fourth Judicial District,Deborah Bail,1052
Boise,Fourth Judicial District,Cheri C. Copsey,1049
Boise,Fourth Judicial District,Les Bock,462
Boise,Fourth Judicial District,Richard D. Greenwood,678
Boise,Fourth Judicial District,Timothy L. Hansen,1027
Boise,Fourth Judicial District,Melissa Moody,1013
Boise,Fourth Judicial District,Thomas F. Neville,1026
Boise,Fourth Judicial District,Lynn Norton,1029
Boise,Fourth Judicial District,Patrick H. Owen,1060
Boise,Fourth Judicial District,Rebecca W. Arnold,386
Boise,Fourth Judicial District,Samuel A. Hoagland,401
Boise,Fourth Judicial District,Jeanne M. Howe,179
Boise,Fourth Judicial District,Jonathan Medema,168
Elmore,Fourth Judicial District,Deborah Bail,2106
Elmore,Fourth Judicial District,Cheri C. Copsey,2075
Elmore,Fourth Judicial District,Les Bock,937
Elmore,Fourth Judicial District,Richard D. Greenwood,1339
Elmore,Fourth Judicial District,Timothy L. Hansen,2052
Elmore,Fourth Judicial District,Melissa Moody,2061
Elmore,Fourth Judicial District,Thomas F. Neville,2052
Elmore,Fourth Judicial District,Lynn Norton,2053
Elmore,Fourth Judicial District,Patrick H. Owen,2041
Elmore,Fourth Judicial District,Rebecca W. Arnold,549
Elmore,Fourth Judicial District,Samuel A. Hoagland,1073
Elmore,Fourth Judicial District,Jeanne M. Howe,311
Elmore,Fourth Judicial District,Jonathan Medema,357
Valley,Fourth Judicial District,Deborah Bail,1087
Valley,Fourth Judicial District,Cheri C. Copsey,1065
Valley,Fourth Judicial District,Les Bock,429
Valley,Fourth Judicial District,Richard D. Greenwood,781
Valley,Fourth Judicial District,Timothy L. Hansen,1057
Valley,Fourth Judicial District,Melissa Moody,1059
Valley,Fourth Judicial District,Thomas F. Neville,1108
Valley,Fourth Judicial District,Lynn Norton,1066
Valley,Fourth Judicial District,Patrick H. Owen,1064
Valley,Fourth Judicial District,Rebecca W. Arnold,460
Valley,Fourth Judicial District,Samuel A. Hoagland,310
Valley,Fourth Judicial District,Jeanne M. Howe,149
Valley,Fourth Judicial District,Jonathan Medema,227
Blaine,Fifth Judicial District,G. Richard Bevan,1389
Blaine,Fifth Judicial District,Jonathan P. Brody,1381
Blaine,Fifth Judicial District,John K. Butler,1383
Blaine,Fifth Judicial District,Michael R. Crabtree,1395
Blaine,Fifth Judicial District,Robert J. Elgee,1624
Blaine,Fifth Judicial District,Randy J. Stoker,1410
Blaine,Fifth Judicial District,Eric J. Wildman,1383
Camas,Fifth Judicial District,G. Richard Bevan,174
Camas,Fifth Judicial District,Jonathan P. Brody,171
Camas,Fifth Judicial District,John K. Butler,178
Camas,Fifth Judicial District,Michael R. Crabtree,175
Camas,Fifth Judicial District,Robert J. Elgee,163
Camas,Fifth Judicial District,Randy J. Stoker,177
Camas,Fifth Judicial District,Eric J. Wildman,173
Cassia,Fifth Judicial District,G. Richard Bevan,2368
Cassia,Fifth Judicial District,Jonathan P. Brody,2334
Cassia,Fifth Judicial District,John K. Butler,2355
Cassia,Fifth Judicial District,Michael R. Crabtree,2448
Cassia,Fifth Judicial District,Robert J. Elgee,2343
Cassia,Fifth Judicial District,Randy J. Stoker,2424
Cassia,Fifth Judicial District,Eric J. Wildman,2354
Gooding,Fifth Judicial District,G. Richard Bevan,1577
Gooding,Fifth Judicial District,Jonathan P. Brody,1535
Gooding,Fifth Judicial District,John K. Butler,1564
Gooding,Fifth Judicial District,Michael R. Crabtree,1546
Gooding,Fifth Judicial District,Robert J. Elgee,1524
Gooding,Fifth Judicial District,Randy J. Stoker,1585
Gooding,Fifth Judicial District,Eric J. Wildman,1561
Jerome,Fifth Judicial District,G. Richard Bevan,1763
Jerome,Fifth Judicial District,Jonathan P. Brody,1717
Jerome,Fifth Judicial District,John K. Butler,1775
Jerome,Fifth Judicial District,Michael R. Crabtree,1737
Jerome,Fifth Judicial District,Robert J. Elgee,1715
Jerome,Fifth Judicial District,Randy J. Stoker,1788
Jerome,Fifth Judicial District,Eric J. Wildman,1749
Lincoln,Fifth Judicial District,G. Richard Bevan,602
Lincoln,Fifth Judicial District,Jonathan P. Brody,583
Lincoln,Fifth Judicial District,John K. Butler,598
Lincoln,Fifth Judicial District,Michael R. Crabtree,585
Lincoln,Fifth Judicial District,Robert J. Elgee,588
Lincoln,Fifth Judicial District,Randy J. Stoker,602
Lincoln,Fifth Judicial District,Eric J. Wildman,577
Minidoka,Fifth Judicial District,G. Richard Bevan,2314
Minidoka,Fifth Judicial District,Jonathan P. Brody,2329
Minidoka,Fifth Judicial District,John K. Butler,2276
Minidoka,Fifth Judicial District,Michael R. Crabtree,2320
Minidoka,Fifth Judicial District,Robert J. Elgee,2268
Minidoka,Fifth Judicial District,Randy J. Stoker,2350
Minidoka,Fifth Judicial District,Eric J. Wildman,2282
Twin Falls,Fifth Judicial District,G. Richard Bevan,5995
Twin Falls,Fifth Judicial District,Jonathan P. Brody,5657
Twin Falls,Fifth Judicial District,John K. Butler,5730
Twin Falls,Fifth Judicial District,Michael R. Crabtree,5748
Twin Falls,Fifth Judicial District,Robert J. Elgee,5621
Twin Falls,Fifth Judicial District,Randy J. Stoker,5898
Twin Falls,Fifth Judicial District,Eric J. Wildman,5658
Bannock,Sixth Judicial District,Mitchell W. Brown,10507
Bannock,Sixth Judicial District,Stephen S. Dunn,10491
Bannock,Sixth Judicial District,Lynn Brower,4980
Bannock,Sixth Judicial District,Robert C. Naftz,6912
Bannock,Sixth Judicial District,David C. Nye,10958
Bear Lake,Sixth Judicial District,Mitchell W. Brown,1075
Bear Lake,Sixth Judicial District,Stephen S. Dunn,1094
Bear Lake,Sixth Judicial District,Lynn Brower,1005
Bear Lake,Sixth Judicial District,Robert C. Naftz,356
Bear Lake,Sixth Judicial District,David C. Nye,1103
Caribou,Sixth Judicial District,Mitchell W. Brown,1495
Caribou,Sixth Judicial District,Stephen S. Dunn,1429
Caribou,Sixth Judicial District,Lynn Brower,740
Caribou,Sixth Judicial District,Robert C. Naftz,815
Caribou,Sixth Judicial District,David C. Nye,1439
Franklin,Sixth Judicial District,Mitchell W. Brown,1199
Franklin,Sixth Judicial District,Stephen S. Dunn,1219
Franklin,Sixth Judicial District,Lynn Brower,710
Franklin,Sixth Judicial District,Robert C. Naftz,615
Franklin,Sixth Judicial District,David C. Nye,1195
Oneida,Sixth Judicial District,Mitchell W. Brown,473
Oneida,Sixth Judicial District,Stephen S. Dunn,484
Oneida,Sixth Judicial District,Lynn Brower,149
Oneida,Sixth Judicial District,Robert C. Naftz,441
Oneida,Sixth Judicial District,David C. Nye,491
Power,Sixth Judicial District,Mitchell W. Brown,820
Power,Sixth Judicial District,Stephen S. Dunn,860
Power,Sixth Judicial District,Lynn Brower,384
Power,Sixth Judicial District,Robert C. Naftz,554
Power,Sixth Judicial District,David C. Nye,851
Bingham,Seventh Judicial District,Gregory W. Moeller,5168
Bingham,Seventh Judicial District,Scott J. Davis,1416
Bingham,Seventh Judicial District,Bruce L. Pickett,2144
Bingham,Seventh Judicial District,Stevan H. Thompson,1882
Bingham,Seventh Judicial District,Andre Linchenko Lawson,1293
Bingham,Seventh Judicial District,Darren B. Simpson,4588
Bingham,Seventh Judicial District,Randy Neal,2072
Bingham,Seventh Judicial District,Jeol E. Tingey,3526
Bingham,Seventh Judicial District,Dane H. Watkins Jr.,5232
Bonneville,Seventh Judicial District,Gregory W. Moeller,9152
Bonneville,Seventh Judicial District,Scott J. Davis,1704
Bonneville,Seventh Judicial District,Bruce L. Pickett,6195
Bonneville,Seventh Judicial District,Stevan H. Thompson,3111
Bonneville,Seventh Judicial District,Andre Linchenko Lawson,2652
Bonneville,Seventh Judicial District,Darren B. Simpson,7699
Bonneville,Seventh Judicial District,Randy Neal,3451
Bonneville,Seventh Judicial District,Jeol E. Tingey,7343
Bonneville,Seventh Judicial District,Dane H. Watkins Jr.,8880
Butte,Seventh Judicial District,Gregory W. Moeller,650
Butte,Seventh Judicial District,Scott J. Davis,155
Butte,Seventh Judicial District,Bruce L. Pickett,262
Butte,Seventh Judicial District,Stevan H. Thompson,249
Butte,Seventh Judicial District,Andre Linchenko Lawson,219
Butte,Seventh Judicial District,Darren B. Simpson,469
Butte,Seventh Judicial District,Randy Neal,291
Butte,Seventh Judicial District,Jeol E. Tingey,403
Butte,Seventh Judicial District,Dane H. Watkins Jr.,673
Clark,Seventh Judicial District,Gregory W. Moeller,201
Clark,Seventh Judicial District,Scott J. Davis,53
Clark,Seventh Judicial District,Bruce L. Pickett,104
Clark,Seventh Judicial District,Stevan H. Thompson,55
Clark,Seventh Judicial District,Andre Linchenko Lawson,54
Clark,Seventh Judicial District,Darren B. Simpson,168
Clark,Seventh Judicial District,Randy Neal,92
Clark,Seventh Judicial District,Jeol E. Tingey,130
Clark,Seventh Judicial District,Dane H. Watkins Jr.,206
Custer,Seventh Judicial District,Gregory W. Moeller,920
Custer,Seventh Judicial District,Scott J. Davis,253
Custer,Seventh Judicial District,Bruce L. Pickett,299
Custer,Seventh Judicial District,Stevan H. Thompson,381
Custer,Seventh Judicial District,Andre Linchenko Lawson,325
Custer,Seventh Judicial District,Darren B. Simpson,684
Custer,Seventh Judicial District,Randy Neal,386
Custer,Seventh Judicial District,Jeol E. Tingey,651
Custer,Seventh Judicial District,Dane H. Watkins Jr.,939
Fremont,Seventh Judicial District,Gregory W. Moeller,2346
Fremont,Seventh Judicial District,Scott J. Davis,635
Fremont,Seventh Judicial District,Bruce L. Pickett,1155
Fremont,Seventh Judicial District,Stevan H. Thompson,609
Fremont,Seventh Judicial District,Andre Linchenko Lawson,608
Fremont,Seventh Judicial District,Darren B. Simpson,1850
Fremont,Seventh Judicial District,Randy Neal,950
Fremont,Seventh Judicial District,Jeol E. Tingey,1479
Fremont,Seventh Judicial District,Dane H. Watkins Jr.,2307
Jefferson,Seventh Judicial District,Gregory W. Moeller,3574
Jefferson,Seventh Judicial District,Scott J. Davis,847
Jefferson,Seventh Judicial District,Bruce L. Pickett,2114
Jefferson,Seventh Judicial District,Stevan H. Thompson,906
Jefferson,Seventh Judicial District,Andre Linchenko Lawson,1144
Jefferson,Seventh Judicial District,Darren B. Simpson,2736
Jefferson,Seventh Judicial District,Randy Neal,1574
Jefferson,Seventh Judicial District,Jeol E. Tingey,2356
Jefferson,Seventh Judicial District,Dane H. Watkins Jr.,3648
Lemhi,Seventh Judicial District,Gregory W. Moeller,1553
Lemhi,Seventh Judicial District,Scott J. Davis,453
Lemhi,Seventh Judicial District,Bruce L. Pickett,745
Lemhi,Seventh Judicial District,Stevan H. Thompson,469
Lemhi,Seventh Judicial District,Andre Linchenko Lawson,565
Lemhi,Seventh Judicial District,Darren B. Simpson,1196
Lemhi,Seventh Judicial District,Randy Neal,758
Lemhi,Seventh Judicial District,Jeol E. Tingey,1117
Lemhi,Seventh Judicial District,Dane H. Watkins Jr.,1636
Madison,Seventh Judicial District,Gregory W. Moeller,3573
Madison,Seventh Judicial District,Scott J. Davis,1041
Madison,Seventh Judicial District,Bruce L. Pickett,1638
Madison,Seventh Judicial District,Stevan H. Thompson,717
Madison,Seventh Judicial District,Andre Linchenko Lawson,919
Madison,Seventh Judicial District,Darren B. Simpson,2597
Madison,Seventh Judicial District,Randy Neal,1238
Madison,Seventh Judicial District,Jeol E. Tingey,2315
Madison,Seventh Judicial District,Dane H. Watkins Jr.,3424
Teton,Seventh Judicial District,Gregory W. Moeller,1182
Teton,Seventh Judicial District,Scott J. Davis,352
Teton,Seventh Judicial District,Bruce L. Pickett,417
Teton,Seventh Judicial District,Stevan H. Thompson,418
Teton,Seventh Judicial District,Andre Linchenko Lawson,394
Teton,Seventh Judicial District,Darren B. Simpson,874
Teton,Seventh Judicial District,Randy Neal,500
Teton,Seventh Judicial District,Jeol E. Tingey,768
Teton,Seventh Judicial District,Dane H. Watkins Jr.,1126
Benewah,First Judicial District,Fred M. Gibler,890
Benewah,First Judicial District,Lansing L. Haynes,793
Benewah,First Judicial District,John Patrick Luster,750
Benewah,First Judicial District,John T. Mitchell,811
Benewah,First Judicial District,Steven C. Verby,741
Bonner,First Judicial District,Fred M. Gibler,4260
Bonner,First Judicial District,Lansing L. Haynes,4253
Bonner,First Judicial District,John Patrick Luster,4262
Bonner,First Judicial District,John T. Mitchell,4306
Bonner,First Judicial District,Steven C. Verby,4674
Boundary,First Judicial District,Fred M. Gibler,886
Boundary,First Judicial District,Lansing L. Haynes,894
Boundary,First Judicial District,John Patrick Luster,902
Boundary,First Judicial District,John T. Mitchell,917
Boundary,First Judicial District,Steven C. Verby,976
Kootenai,First Judicial District,Fred M. Gibler,11293
Kootenai,First Judicial District,Lansing L. Haynes,11292
Kootenai,First Judicial District,John Patrick Luster,11355
Kootenai,First Judicial District,John T. Mitchell,11386
Kootenai,First Judicial District,Steven C. Verby,10967
Shoshone,First Judicial District,Fred M. Gibler,1420
Shoshone,First Judicial District,Lansing L. Haynes,1196
Shoshone,First Judicial District,John Patrick Luster,1216
Shoshone,First Judicial District,John T. Mitchell,1233
Shoshone,First Judicial District,Steven C. Verby,1214
Clearwater,Second Judicial District,Michael J. Griffin,752
Clearwater,Second Judicial District,Edwin L. Litteneker,304
Clearwater,Second Judicial District,Jeff M. Brudie,904
Clearwater,Second Judicial District,Carl B. Kerrick,910
Clearwater,Second Judicial District,John R. Stegner,964
Idaho,Second Judicial District,Michael J. Griffin,2368
Idaho,Second Judicial District,Edwin L. Litteneker,799
Idaho,Second Judicial District,Jeff M. Brudie,2233
Idaho,Second Judicial District,Carl B. Kerrick,2203
Idaho,Second Judicial District,John R. Stegner,2362
Latah,Second Judicial District,Michael J. Griffin,2239
Latah,Second Judicial District,Edwin L. Litteneker,1058
Latah,Second Judicial District,Jeff M. Brudie,3314
Latah,Second Judicial District,Carl B. Kerrick,3252
Latah,Second Judicial District,John R. Stegner,3501
Lewis,Second Judicial District,Michael J. Griffin,355
Lewis,Second Judicial District,Edwin L. Litteneker,218
Lewis,Second Judicial District,Jeff M. Brudie,491
Lewis,Second Judicial District,Carl B. Kerrick,484
Lewis,Second Judicial District,John R. Stegner,497
Nez Perce,Second Judicial District,Michael J. Griffin,1624
Nez Perce,Second Judicial District,Edwin L. Litteneker,1657
Nez Perce,Second Judicial District,Jeff M. Brudie,3072
Nez Perce,Second Judicial District,Carl B. Kerrick,3033
